threshold,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,roc_auc,pr_auc,brier_score,positive_prediction_rate
0.61,0.7532467532467533,0.66,0.6111111111111112,0.83,0.6346153846153846,0.7205555555555556,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.3246753246753247
0.62,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.84,0.6274509803921569,0.7162962962962962,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.3116883116883117
0.63,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.84,0.6274509803921569,0.7162962962962962,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.3116883116883117
0.64,0.7597402597402597,0.6808510638297872,0.5925925925925926,0.85,0.6336633663366337,0.7212962962962963,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.3051948051948052
0.65,0.7662337662337663,0.6956521739130435,0.5925925925925926,0.86,0.64,0.7262962962962962,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.2987012987012987
0.66,0.7662337662337663,0.7045454545454546,0.5740740740740741,0.87,0.6326530612244898,0.722037037037037,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.2857142857142857
0.67,0.7662337662337663,0.7142857142857143,0.5555555555555556,0.88,0.625,0.7177777777777778,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.2727272727272727
0.68,0.7662337662337663,0.7142857142857143,0.5555555555555556,0.88,0.625,0.7177777777777778,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.2727272727272727
0.69,0.7597402597402597,0.7073170731707317,0.5370370370370371,0.88,0.6105263157894737,0.7085185185185185,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.2662337662337662
0.7,0.7532467532467533,0.7105263157894737,0.5,0.89,0.5869565217391305,0.6950000000000001,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.24675324675324675
0.71,0.7337662337662337,0.6857142857142857,0.4444444444444444,0.89,0.5393258426966292,0.6672222222222222,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.22727272727272727
0.72,0.7402597402597403,0.7058823529411765,0.4444444444444444,0.9,0.5454545454545454,0.6722222222222223,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.22077922077922077
0.73,0.7467532467532467,0.7419354838709677,0.42592592592592593,0.92,0.5411764705882353,0.672962962962963,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.2012987012987013
0.74,0.7337662337662337,0.7407407407407407,0.37037037037037035,0.93,0.49382716049382713,0.6501851851851852,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.17532467532467533
0.75,0.7207792207792207,0.72,0.3333333333333333,0.93,0.45569620253164556,0.6316666666666667,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.16233766233766234
0.76,0.7077922077922078,0.6956521739130435,0.2962962962962963,0.93,0.4155844155844156,0.6131481481481482,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.14935064935064934
0.77,0.7012987012987013,0.6818181818181818,0.2777777777777778,0.93,0.39473684210526316,0.6038888888888889,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.14285714285714285
0.78,0.7012987012987013,0.6818181818181818,0.2777777777777778,0.93,0.39473684210526316,0.6038888888888889,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.14285714285714285
0.79,0.6948051948051948,0.6842105263157895,0.24074074074074073,0.94,0.3561643835616438,0.5903703703703703,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.12337662337662338
0.8,0.6948051948051948,0.6842105263157895,0.24074074074074073,0.94,0.3561643835616438,0.5903703703703703,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.12337662337662338
0.81,0.7012987012987013,0.7222222222222222,0.24074074074074073,0.95,0.3611111111111111,0.5953703703703703,0.8375925925925927,0.6986628161992626,0.16106824132331618,0.11688311688311688
