threshold,accuracy,precision,recall,f1_score,specificity,balanced_accuracy,roc_auc,pr_auc,brier_score,positive_prediction_rate,selection_score
0.88,0.21311475409836064,0.10526315789473684,0.06060606060606061,0.07692307692307693,0.39285714285714285,0.22673160173160173,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.3114754098360656,0.15179985463530984
0.85,0.19672131147540983,0.1,0.06060606060606061,0.07547169811320754,0.35714285714285715,0.20887445887445888,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.32786885245901637,0.14361903247832083
0.86,0.19672131147540983,0.1,0.06060606060606061,0.07547169811320754,0.35714285714285715,0.20887445887445888,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.32786885245901637,0.14361903247832083
0.8,0.16393442622950818,0.09090909090909091,0.06060606060606061,0.07272727272727272,0.2857142857142857,0.17316017316017315,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.36065573770491804,0.12747396999363572
0.81,0.16393442622950818,0.09090909090909091,0.06060606060606061,0.07272727272727272,0.2857142857142857,0.17316017316017315,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.36065573770491804,0.12747396999363572
0.82,0.16393442622950818,0.09090909090909091,0.06060606060606061,0.07272727272727272,0.2857142857142857,0.17316017316017315,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.36065573770491804,0.12747396999363572
0.83,0.16393442622950818,0.09090909090909091,0.06060606060606061,0.07272727272727272,0.2857142857142857,0.17316017316017315,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.36065573770491804,0.12747396999363572
0.84,0.16393442622950818,0.09090909090909091,0.06060606060606061,0.07272727272727272,0.2857142857142857,0.17316017316017315,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.36065573770491804,0.12747396999363572
0.78,0.14754098360655737,0.08695652173913043,0.06060606060606061,0.07142857142857142,0.25,0.1553030303030303,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.3770491803278688,0.11949316818674696
0.79,0.14754098360655737,0.08695652173913043,0.06060606060606061,0.07142857142857142,0.25,0.1553030303030303,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.3770491803278688,0.11949316818674696
0.73,0.11475409836065574,0.08,0.06060606060606061,0.06896551724137931,0.17857142857142858,0.11958874458874459,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4098360655737705,0.10368301611992323
0.74,0.11475409836065574,0.08,0.06060606060606061,0.06896551724137931,0.17857142857142858,0.11958874458874459,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4098360655737705,0.10368301611992323
0.75,0.11475409836065574,0.08,0.06060606060606061,0.06896551724137931,0.17857142857142858,0.11958874458874459,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4098360655737705,0.10368301611992323
0.76,0.11475409836065574,0.08,0.06060606060606061,0.06896551724137931,0.17857142857142858,0.11958874458874459,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4098360655737705,0.10368301611992323
0.77,0.11475409836065574,0.08,0.06060606060606061,0.06896551724137931,0.17857142857142858,0.11958874458874459,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.4098360655737705,0.10368301611992323
0.9,0.22950819672131148,0.0625,0.030303030303030304,0.04081632653061224,0.4642857142857143,0.2472943722943723,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.26229508196721313,0.140238039257705
0.89,0.21311475409836064,0.058823529411764705,0.030303030303030304,0.04,0.42857142857142855,0.22943722943722944,0.06818181818181818,0.35692528731860196,0.6965373870168586,0.2786885245901639,0.1324254342156882
